Unique_ID,Abstract,Ancillary_Data,Bibliographic_Type,ContentType,Contract_Grant_Number,Credit,Date_Resource_Created,Description,Descriptors_Topical,Descriptors_Geographic,Evaluated_AID_Contract_Num,File,File_Size,Inst_Author,Inst_Publisher,Inst_Sponsor,Language,Mime_Type,New_Thesaurus_Terms,Notes,Personal_Author,Primary_Subject,Publication_Date_Freeform,Related_Doc_Links,Report_Number,Series_Title,Title,Title_Translated,URI,USAID_Geography,USAID_Project_Number,Digital_Object_Identifier,Date_Form,year_x,country_code,country_year,Business & Investment Environment,Child Health,Civil Society & Media Effectiveness,Economic Gender Gap,Education Quality,Environmental Policy,Export Sophistication,GDP Per Capita (PPP),Government Effectiveness,Information & Communication Technology (ICT) Adoption,Liberal Democracy,Open Government,Poverty Rate ($5/Day),Safety & Security,Social Group Equality,Tax System Effectiveness,Trade Freedom,iso,year_y,comm_missing,comm_score,cap_missing,cap_score,0_near,1_near,2_near,3_near,4_near
PA-00K-SQC,,Submitted as: Final evaluation of the Liberia grants and solicitation mechanism (LGSM) project,Final Evaluation Report,Documents,,,3/1/2015 0:00,,Quality of care ~|~_©_~|~ Orphans and vulnerable children (OVC) ~|~_©_~|~ Human capacity development ~|~_©_~|~ Civil society organizations (CSO) ~|~_©_~|~ Child welfare ~|~_©_~|~ Family planning services ~|~_©_~|~ Disease prevention and control,Liberia,669-A-00-10-00057-00 ~|~_©_~|~ AID-669-A-00-10-00057,http://pdf.usaid.gov/pdf_docs/PA00KSQC.pdf,856 KB,008570 - USAID. Mission to Liberia,,,English,application/pdf,,,"Babcock, Courtney ~|~_©_~|~ Horace, Jannie ~|~_©_~|~ et al.",Health care administration,Mar-15,,,,Final performance evaluation of the Liberia grants and solicitation mechanism (LGSM) project,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3NTky,Liberia,,,2015-03-01,2015,LBR,LBR_2015,0.28519686140309003,0.434019719455354,0.931034482758621,0.579804614701407,,0.444444444444444,0.274430677124777,0.14320764220011498,0.23842905655565802,,0.5493757094211121,,,0.632919568231956,0.8053326430235571,0.25925925925925897,,LBR,2015,2.0,0.5328308545987221,3.0,0.4161857722265343,BFA_2017,MOZ_2015,MOZ_2013,TZA_2014,MWI_2018
PA-00K-SGR,,"""Submitted to: USAID/Uganda"" ~|~_©_~|~ Submitted as: SUNRISE-OVC final evaluation ~|~_©_~|~ Footer title: SUNRISE-OVC project evaluation ~|~_©_~|~ Also known as: Final of evaluation of USAID's Strengthening Uganda's national response for implementation of services for orphans and other vulnerable children ~|~_©_~|~ Project title: Strengthening Uganda's national response for implementation of services for orphans and other vulnerable children (SUNRISE-OVC)",Final Evaluation Report,Documents,AID-OAA-A-14-00061,,9/1/2015 0:00,,Orphans and vulnerable children (OVC) ~|~_©_~|~ Health service utilization ~|~_©_~|~ Access to services ~|~_©_~|~ Local level ~|~_©_~|~ Governance ~|~_©_~|~ Households ~|~_©_~|~ Quality of care ~|~_©_~|~ Demand ~|~_©_~|~ Civil society organizations (CSO),Uganda,AID-OAA-A-14-00061,http://pdf.usaid.gov/pdf_docs/PA00KSGR.pdf,1874 KB,041105 - 4Children ~|~_©_~|~ 007337 - Catholic Relief Services (CRS),,013626 - U.S. President's Emergency Plan for AIDS Relief (PEPFAR) ~|~_©_~|~ 000035 - U.S. Agency for International Development (USAID),English,application/pdf,,,,HIV / AIDS,18-Sep-15,,,,Strengthening Uganda's national response for implementation of services for orphans and other vulnerable children : final evaluation,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3NDA5,Uganda,,,2015-09-01,2015,UGA,UGA_2015,0.45696272539758703,0.3643716660675321,0.716823406478579,0.628340888354092,,0.444444444444444,0.4303360994278351,0.19557308351116,0.42305902059256106,,0.28490351872871694,,,0.458935013608851,0.644317887652084,0.25,,UGA,2015,2.0,0.49179389291538483,3.0,0.4055854699552168,TJK_2016,MDG_2017,MLI_2015,TZA_2018,MOZ_2017
PA-00K-S9J,,Project title: Cross sectoral strategies for climate change and disaster risk reduction (CADRE),Final Evaluation Report,Documents,AID-497-A-11-00015,,6/1/2015 0:00,,Climate change ~|~_©_~|~ Disaster relief ~|~_©_~|~ Vulnerable groups ~|~_©_~|~ Rural areas ~|~_©_~|~ Provinces ~|~_©_~|~ Livelihood ~|~_©_~|~ Farmers ~|~_©_~|~ Gender equality ~|~_©_~|~ Food security,Indonesia,AID-497-A-11-00015,http://pdf.usaid.gov/pdf_docs/PA00KS9J.pdf,1288 KB,041093 - CIRCLE Indonesia ~|~_©_~|~ 000989 - Project Concern International (PCI),,008558 - USAID. Mission to Indonesia,English,application/pdf,,,"Sitorus, Henri",Disaster prevention,Jun-15,,,,Cross sectoral strategies for climate change and disaster risk reduction (CADRE) in Indonesia : final evaluation report,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3MjY2,Indonesia,,,2015-06-01,2015,IDN,IDN_2015,0.496308784100293,0.806952905613143,0.903866248693835,0.559367732389009,,0.33333333333333304,0.527698836724641,0.515968203929245,0.47471056967800296,,0.597048808172531,,0.364899639732373,0.5912144761946229,0.668133574941755,0.185185185185185,,IDN,2015,2.0,0.5308384465873842,2.0,0.546312008218881,NPL_2015,AZE_2018,NPL_2017,NPL_2018,KGZ_2016
PA-00K-S72,,Submitted as: East Africa trade hub (EATH) final evaluation report ~|~_©_~|~ Evaluated task order: East Africa trade hub (EATH) ~|~_©_~|~ Project title: AFR/SD support services,Final Evaluation Report,Documents,AID-OAA-M-13-00012,,8/1/2015 0:00,,Trade promotion ~|~_©_~|~ International trade ~|~_©_~|~ Nontariff barriers ~|~_©_~|~ Economic efficiency ~|~_©_~|~ Customs operations ~|~_©_~|~ Cross-border trade ~|~_©_~|~ Cross-border linkages ~|~_©_~|~ Gender equality ~|~_©_~|~ Economic reform ~|~_©_~|~ Value chains ~|~_©_~|~ Agricultural economics ~|~_©_~|~ Economic competition,East Africa,EEM-I-05-07-00008-00 ~|~_©_~|~ EEM-I-00-07-00008-00 ~|~_©_~|~ AID-EEM-I-05-07-00008 ~|~_©_~|~ AID-EEM-I-00-07-00008,http://pdf.usaid.gov/pdf_docs/PA00KS72.pdf,490 KB,000981 - Pragma Corp.,,008308 - USAID. Bur. for Africa. Ofc. of Sustainable Development,English,application/pdf,,,,International trade,14-Aug-15,,,,East Africa trade hub (EATH) 2009-2014 : final evaluation report,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3MTk3,,,,2015-08-01,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00K-S5M,,"Submitted as: Performance evaluation of STRIDES for family health program, USAID/Uganda (2009-2014) program ~|~_©_~|~ Evaluated project title: STRIDES for family health",Final Evaluation Report,Documents,AID-617-BC-14-00008 ~|~_©_~|~ AID-617-E-13-00011,,1/1/2015 0:00,,Family health care ~|~_©_~|~ Health service utilization ~|~_©_~|~ Quality of care ~|~_©_~|~ Health care systems ~|~_©_~|~ Health finance ~|~_©_~|~ Community leadership ~|~_©_~|~ Clinics ~|~_©_~|~ Social workers ~|~_©_~|~ Reproductive health,Uganda,617-A-00-09-00005-00 ~|~_©_~|~ AID-617-A-00-09-00005,http://pdf.usaid.gov/pdf_docs/PA00KS5M.pdf,1263 KB,041091 - Makerere University. Dept. of of Social Work and Social Administration,,008618 - USAID. Mission to Uganda,English,application/pdf,,,,Reproductive health care,Jan-15,,,,Performance evaluation of USAID/Uganda's 2009-2014 STRIDES for family health program,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3MTU4,Uganda,,,2015-01-01,2015,UGA,UGA_2015,0.45696272539758703,0.3643716660675321,0.716823406478579,0.628340888354092,,0.444444444444444,0.4303360994278351,0.19557308351116,0.42305902059256106,,0.28490351872871694,,,0.458935013608851,0.644317887652084,0.25,,UGA,2015,2.0,0.49179389291538483,3.0,0.4055854699552168,TJK_2016,MDG_2017,MLI_2015,TZA_2018,MOZ_2017
PA-00K-RJF,,Footer title: Performance evaluation of the Tanzania social marketing project ~|~_©_~|~ Evaluated project title: Tanzania social marketing project (TSMP) ~|~_©_~|~ Project title: Global health program cycle improvement (GH pro),Final Evaluation Report,Documents,AID-OAA-C-14-00067,,6/1/2015 0:00,,Social marketing ~|~_©_~|~ HIV/AIDS ~|~_©_~|~ Family planning ~|~_©_~|~ Reproductive health ~|~_©_~|~ Child survival activities ~|~_©_~|~ Malaria ~|~_©_~|~ Public health care ~|~_©_~|~ Local capacity building ~|~_©_~|~ Contraceptive prevalence ~|~_©_~|~ Disease prevention and control ~|~_©_~|~ Voluntary Counseling and Testing (VCT) for HIV/AIDS,Tanzania,621-A-00-10-00020-00 ~|~_©_~|~ AID-621-A-00-10-00020,http://pdf.usaid.gov/pdf_docs/PA00KRJF.pdf,2100 KB,040668 - Dexis Consulting Group,,"040224 - USAID. Bur. for Global Health. Ofc. of Policy, Programs and Planning",English,application/pdf,,,"Field-Nguer, Mary Lyn ~|~_©_~|~ Musonda, Kennedy ~|~_©_~|~ et al.",Health education,Jun-15,,,,The Tanzania social marketing project : a performance evaluation,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA2Njkw,Tanzania,,,2015-06-01,2015,TZA,TZA_2015,0.30913060569761,0.419342695247807,0.788923719958203,0.664872875260182,,0.222222222222222,0.364783448903035,0.22307261128273104,0.398235190470498,,0.48467650397275797,,,0.666294524258202,0.804814910691173,0.24074074074074103,,TZA,2015,2.0,0.497143423568789,3.0,0.4430561329801739,ZMB_2013,KEN_2016,KEN_2017,TJK_2014,ZMB_2014
PA-00K-RJ6,,"""Caribbean Basin Security Initiative IQC"" ~|~_©_~|~ Also known as: Combatting corruption In Jamaica : final performance evaluation ~|~_©_~|~ Evaluated project title: Combatting corruption in Jamaica ~|~_©_~|~ Project title: Monitoring and evaluation services for Caribbean Basin security initiative (CBSI)",Final Evaluation Report,Documents,AID-532-TO-15-00001 ~|~_©_~|~ AID-517-I-12-00002,,10/1/2015 0:00,,Anticorruption interventions ~|~_©_~|~ Political corruption ~|~_©_~|~ Gender issues ~|~_©_~|~ Social change ~|~_©_~|~ Public participation ~|~_©_~|~ Public awareness ~|~_©_~|~ Civil society,Jamaica,AID-532-A-12-00002,http://pdf.usaid.gov/pdf_docs/PA00KRJ6.pdf,2962 KB,040668 - Dexis Consulting Group,,008563 - USAID. Mission to Jamaica ~|~_©_~|~ 008537 - USAID. Mission to Dominican Republic,English,application/pdf,,,"Lyday, Corbin ~|~_©_~|~ Henderson, Keith ~|~_©_~|~ McKenzie, Sharene",Government reform,2-Oct-15,,,,Final report : combatting corruption in Jamaica final performance evaluation,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA2Njg0,Jamaica,,,2015-10-01,2015,JAM,JAM_2015,0.515941808127183,0.901272537875299,0.960292580982236,0.746912770375009,,0.444444444444444,0.471865408662044,0.5020933924992801,0.578252713732123,,0.8115777525539158,,,0.545181740138886,0.7214600051773229,0.49074074074074103,,JAM,2015,2.0,0.6480673561355751,3.0,0.6356713020900869,MDA_2014,ARM_2018,BWA_2013,ALB_2018,MDA_2013
PA-00K-RGW,,Evaluated project title: Broadening participation through civil society (BPCS) ~|~_©_~|~ Evaluated USAID cooperative agreement number listed in document as AID-267-A-00-12-00001 ~|~_©_~|~ Project title: Advancing performance management ~|~_©_~|~ English ed.: PA-00K-RGV,Final Evaluation Report,Documents,AID-267-C-13-00001,,11/1/2015 0:00,,Civil society,Iraq,AID-267-A-12-00001,http://pdf.usaid.gov/pdf_docs/PA00KRGW.pdf,2651 KB,"011976 - QED Group, LLC",,011765 - USAID. Mission to Iraq,Arabic,application/pdf,,,,Civil society,2-Nov-15,,,,USAID/Iraq broadening participation through civil society project final performance evaluation report [Arabic],??????? ???????? ??????? ????? ????? ????? ???????? ??? ??????? ?????? ?????? ??????? ????????? ??????? ???????/??????,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA2NjQ5,Iraq,,,2015-11-01,2015,IRQ,IRQ_2015,0.23707213107575198,0.9179548785687299,0.6865203761755488,,,0.111111111111111,,0.519124254340738,0.26184334222020605,,0.280363223609535,,,0.0,0.287859176805592,,,IRQ,2015,3.0,0.2291014106504975,5.0,,AFG_2013,PER_2019,PER_2018,PER_2017,PER_2016
PA-00K-RGV,,Evaluated project title: Broadening participation through civil society (BPCS) ~|~_©_~|~ Project title: Advancing performance management ~|~_©_~|~ Arabic ed.: PA-00K-RGW,Final Evaluation Report,Documents,AID-267-C-13-00001,,11/1/2015 0:00,,Civil society ~|~_©_~|~ Humanitarian assistance ~|~_©_~|~ Societies in transition ~|~_©_~|~ Community participation ~|~_©_~|~ Public participation ~|~_©_~|~ Democratization ~|~_©_~|~ War victims ~|~_©_~|~ Youth ~|~_©_~|~ Civic education ~|~_©_~|~ Meetings ~|~_©_~|~ Transparency ~|~_©_~|~ Accountability,Iraq,AID-267-A-12-00001,http://pdf.usaid.gov/pdf_docs/PA00KRGV.pdf,3676 KB,"011976 - QED Group, LLC",,011765 - USAID. Mission to Iraq,English,application/pdf,,,,Civil society,2-Nov-15,,,,USAID/Iraq broadening participation through civil society project final performance evaluation report,??????? ???????? ??????? ????? ????? ????? ???????? ??? ??????? ?????? ?????? ??????? ????????? ??????? ???????/??????,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA2NjQ4,Iraq,,,2015-11-01,2015,IRQ,IRQ_2015,0.23707213107575198,0.9179548785687299,0.6865203761755488,,,0.111111111111111,,0.519124254340738,0.26184334222020605,,0.280363223609535,,,0.0,0.287859176805592,,,IRQ,2015,3.0,0.2291014106504975,5.0,,AFG_2013,PER_2019,PER_2018,PER_2017,PER_2016
PA-00K-RDB,,"""A four-year cooperative agreement funded by USAID Namibia focused on creating an enabling environment, HIV mitigation and prevention through high-impact, evidence-based programs."" ~|~_©_~|~ Footer title: Endline performance evaluation of USAID/Namibia SHARPP program ~|~_©_~|~ Evaluated project title: Strengthening HIV/AIDS responses in prevention and protection (SHARPP) ~|~_©_~|~ Project title: Global health program cycle improvement (GH pro)",Final Evaluation Report,Documents,AID-OAA-C-14-00067,,5/1/2015 0:00,,Disaster response ~|~_©_~|~ HIV/AIDS ~|~_©_~|~ Disease prevention and control ~|~_©_~|~ Voluntary Counseling and Testing (VCT) for HIV/AIDS ~|~_©_~|~ Youth ~|~_©_~|~ Behavior change ~|~_©_~|~ Gender issues ~|~_©_~|~ Sex education ~|~_©_~|~ Communities ~|~_©_~|~ Social mobility ~|~_©_~|~ Prevention of mother-to-child transmission of HIV (PMTCT),Namibia,AID-673-A-11-00001,http://pdf.usaid.gov/pdf_docs/PA00KRDB.pdf,2117 KB,040668 - Dexis Consulting Group,,"040224 - USAID. Bur. for Global Health. Ofc. of Policy, Programs and Planning",English,application/pdf,,,"Clark, Sam ~|~_©_~|~ Amulungu, Ndeu ~|~_©_~|~ et al.",HIV / AIDS,20-May-15,,,,Endline performance evaluation of the strengthening HIV/AIDS responses in prevention and protection project in Namibia,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA2NTg1,Namibia,,,2015-05-01,2015,NAM,NAM_2015,0.474710579825507,0.599130647909703,0.934169278996865,0.813559016137148,,0.555555555555556,0.46153991891175,0.522532512928899,0.578160119719224,,0.677639046538025,,0.520946989191971,0.6451846326984539,0.8167227543360079,0.62037037037037,,NAM,2015,2.0,0.6676373904784487,2.0,0.6102543088409045,ZAF_2014,JAM_2016,BWA_2015,JAM_2018,ZAF_2017
