Unique_ID,Abstract,Ancillary_Data,Bibliographic_Type,ContentType,Contract_Grant_Number,Credit,Date_Resource_Created,Description,Descriptors_Topical,Descriptors_Geographic,Evaluated_AID_Contract_Num,File,File_Size,Inst_Author,Inst_Publisher,Inst_Sponsor,Language,Mime_Type,New_Thesaurus_Terms,Notes,Personal_Author,Primary_Subject,Publication_Date_Freeform,Related_Doc_Links,Report_Number,Series_Title,Title,Title_Translated,URI,USAID_Geography,USAID_Project_Number,Digital_Object_Identifier,Date_Form,year_x,country_code,country_year,Business & Investment Environment,Child Health,Civil Society & Media Effectiveness,Economic Gender Gap,Education Quality,Environmental Policy,Export Sophistication,GDP Per Capita (PPP),Government Effectiveness,Information & Communication Technology (ICT) Adoption,Liberal Democracy,Open Government,Poverty Rate ($5/Day),Safety & Security,Social Group Equality,Tax System Effectiveness,Trade Freedom,iso,year_y,comm_missing,comm_score,cap_missing,cap_score,0_near,1_near,2_near,3_near,4_near
PA-00K-SQC,,Submitted as: Final evaluation of the Liberia grants and solicitation mechanism (LGSM) project,Final Evaluation Report,Documents,,,3/1/2015 0:00,,Quality of care ~|~_©_~|~ Orphans and vulnerable children (OVC) ~|~_©_~|~ Human capacity development ~|~_©_~|~ Civil society organizations (CSO) ~|~_©_~|~ Child welfare ~|~_©_~|~ Family planning services ~|~_©_~|~ Disease prevention and control,Liberia,669-A-00-10-00057-00 ~|~_©_~|~ AID-669-A-00-10-00057,http://pdf.usaid.gov/pdf_docs/PA00KSQC.pdf,856 KB,008570 - USAID. Mission to Liberia,,,English,application/pdf,,,"Babcock, Courtney ~|~_©_~|~ Horace, Jannie ~|~_©_~|~ et al.",Health care administration,Mar-15,,,,Final performance evaluation of the Liberia grants and solicitation mechanism (LGSM) project,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3NTky,Liberia,,,2015-03-01,2015,LBR,LBR_2015,0.28519686140309003,0.434019719455354,0.931034482758621,0.579804614701407,,0.444444444444444,0.274430677124777,0.14320764220011498,0.23842905655565802,,0.5493757094211121,,,0.632919568231956,0.8053326430235571,0.25925925925925897,,LBR,2015,2.0,0.5328308545987221,3.0,0.4161857722265343,BFA_2017,MOZ_2015,MOZ_2013,TZA_2014,MWI_2018
PA-00K-SGR,,"""Submitted to: USAID/Uganda"" ~|~_©_~|~ Submitted as: SUNRISE-OVC final evaluation ~|~_©_~|~ Footer title: SUNRISE-OVC project evaluation ~|~_©_~|~ Also known as: Final of evaluation of USAID's Strengthening Uganda's national response for implementation of services for orphans and other vulnerable children ~|~_©_~|~ Project title: Strengthening Uganda's national response for implementation of services for orphans and other vulnerable children (SUNRISE-OVC)",Final Evaluation Report,Documents,AID-OAA-A-14-00061,,9/1/2015 0:00,,Orphans and vulnerable children (OVC) ~|~_©_~|~ Health service utilization ~|~_©_~|~ Access to services ~|~_©_~|~ Local level ~|~_©_~|~ Governance ~|~_©_~|~ Households ~|~_©_~|~ Quality of care ~|~_©_~|~ Demand ~|~_©_~|~ Civil society organizations (CSO),Uganda,AID-OAA-A-14-00061,http://pdf.usaid.gov/pdf_docs/PA00KSGR.pdf,1874 KB,041105 - 4Children ~|~_©_~|~ 007337 - Catholic Relief Services (CRS),,013626 - U.S. President's Emergency Plan for AIDS Relief (PEPFAR) ~|~_©_~|~ 000035 - U.S. Agency for International Development (USAID),English,application/pdf,,,,HIV / AIDS,18-Sep-15,,,,Strengthening Uganda's national response for implementation of services for orphans and other vulnerable children : final evaluation,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3NDA5,Uganda,,,2015-09-01,2015,UGA,UGA_2015,0.45696272539758703,0.3643716660675321,0.716823406478579,0.628340888354092,,0.444444444444444,0.4303360994278351,0.19557308351116,0.42305902059256106,,0.28490351872871694,,,0.458935013608851,0.644317887652084,0.25,,UGA,2015,2.0,0.49179389291538483,3.0,0.4055854699552168,TJK_2016,MDG_2017,MLI_2015,TZA_2018,MOZ_2017
PA-00K-SBZ,,"""Supporting a more collaborative environment for civil society and technology service providers in Cambodia"" ~|~_©_~|~ Evaluated project title: Development innovations (DI) ~|~_©_~|~ Project title: USAID Asia learning and M&E support ~|~_©_~|~ Project title also known as: Asia learning and monitoring and evaluation (ALME)",Special Evaluation,Documents,AID-442-TO-15-00002 ~|~_©_~|~ AID-486-I-14-00001,,11/1/2015 0:00,,Civil society ~|~_©_~|~ Technology ~|~_©_~|~ Access to resources ~|~_©_~|~ Civil society organizations (CSO) ~|~_©_~|~ Communication media ~|~_©_~|~ Gender equality ~|~_©_~|~ Information and communications technology (ICT) ~|~_©_~|~ Technological innovations ~|~_©_~|~ Community development,Cambodia,AID-442-A-13-00003,http://pdf.usaid.gov/pdf_docs/PA00KSBZ.pdf,1588 KB,"011933 - Social Impact, Inc.",,008523 - USAID. Mission to Cambodia ~|~_©_~|~ 011460 - USAID. Regional Development Mission - Asia (RDMA),English,application/pdf,,,"Pompi, Kourtney ~|~_©_~|~ Long, Panhavuth ~|~_©_~|~ et al.",Civil society,Nov-15,,,,Mid-term performance evaluation of USAID/Cambodia's development innovations (DI) project,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3MzAz,Cambodia,,,2015-11-01,2015,KHM,KHM_2015,0.283772614344841,0.692014049988469,0.506792058516196,0.643773315221849,,0.111111111111111,0.411352354969497,0.30505222143805394,0.37760431974959,,0.124858115777526,,,0.5864016940326129,0.332125291224437,0.314814814814815,,KHM,2015,2.0,0.2991280895359528,3.0,0.4562902162156049,BGD_2018,MRT_2015,MRT_2014,BGD_2015,EGY_2018
PA-00K-SBV,,"Evaluated project title: Land use dynamics and adapting to climate change in West Africa ~|~_©_~|~ Evaluated project title: Land use and land cover change ~|~_©_~|~ Project title: Restoring the environment through prosperity, livelihoods and conserving ecosystems (REPLACE)",Special Evaluation,Documents,AID-624-TO-15-00001 ~|~_©_~|~ AID-OAA-I-14-00017,,9/1/2015 0:00,,Climate change ~|~_©_~|~ Land use ~|~_©_~|~ Geological surveys ~|~_©_~|~ Natural resource management ~|~_©_~|~ Agrometeorology ~|~_©_~|~ Hydrology ~|~_©_~|~ Food production ~|~_©_~|~ Geographic information systems ~|~_©_~|~ Protected wildlife areas,West Africa ~|~_©_~|~ Africa south of Sahara ~|~_©_~|~ Niger,624-P-00-08-00060-00 ~|~_©_~|~ AID-624-P-00-08-00060,http://pdf.usaid.gov/pdf_docs/PA00KSBV.pdf,6123 KB,"040750 - Integra Government Services International, LLC",,"012600 - USAID. Mission to West Africa ~|~_©_~|~ 013858 - USAID. Bur. for Economic Growth, Education and Environment",English,application/pdf,,,,Natural resources management,10-Sep-15,,,,Assessment of land use dynamics and climate change activities by the United States Geological Survey's Earth Resources Observation System and the Committee for Drought Control in the Sahel's Regional Center for Training and Application of Agrometeorology and Operational Hydrology 2011-2015,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3MzAw,,,,2015-09-01,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00K-SB1,,Evaluated project title: Malagasy heniky ny fahasalamana (MAHEFA) ~|~_©_~|~ Project title: Advancing partners and communities (APC),Special Evaluation,Documents,AID-OAA-A-12-00047,,12/1/2014 0:00,,Communities ~|~_©_~|~ Community health workers ~|~_©_~|~ Cost-effectiveness ~|~_©_~|~ Water sanitation ~|~_©_~|~ Health behavior ~|~_©_~|~ Child health care ~|~_©_~|~ Reproductive health ~|~_©_~|~ Disease prevention and control ~|~_©_~|~ Community leadership ~|~_©_~|~ Contraceptive distribution,Madagascar,687-A-00-11-00013-00 ~|~_©_~|~ AID-687-A-00-11-00013,http://pdf.usaid.gov/pdf_docs/PA00KSB1.pdf,914 KB,"008751 - JSI Research and Training Institute, Inc.",,011262 - USAID. Bur. for Global Health. Ofc. of Population and Reproductive Health,English,application/pdf,,,"Adamchak, S. ~|~_©_~|~ Randrianasolo, B. ~|~_©_~|~ Rabozakandraina, O. ~|~_©_~|~ Katz., K. ~|~_©_~|~ Bratt., J. ~|~_©_~|~ Brinson, A. ~|~_©_~|~ Mercer, S. ~|~_©_~|~ Brown, M. ~|~_©_~|~ Hernandez, A.",Community health workers,Dec-14,,,,Mid-term evaluation of Malagasy heniky ny fahasalamana (MAHEFA) program,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3Mjc5,Madagascar,,,2014-12-01,2014,MDG,MDG_2014,0.22525333432701897,0.33582909267374,0.8484848484848492,0.695810901822239,,,0.398052366337009,0.13810412426993698,0.250650267875195,,0.265607264472191,0.36139212179457003,,0.5927027392161279,0.637328501164898,0.15740740740740697,,MDG,2014,2.0,0.43707842471618336,3.0,0.3887472637520379,MLI_2017,ZMB_2016,MLI_2013,GIN_2013,ZMB_2015
PA-00K-S9J,,Project title: Cross sectoral strategies for climate change and disaster risk reduction (CADRE),Final Evaluation Report,Documents,AID-497-A-11-00015,,6/1/2015 0:00,,Climate change ~|~_©_~|~ Disaster relief ~|~_©_~|~ Vulnerable groups ~|~_©_~|~ Rural areas ~|~_©_~|~ Provinces ~|~_©_~|~ Livelihood ~|~_©_~|~ Farmers ~|~_©_~|~ Gender equality ~|~_©_~|~ Food security,Indonesia,AID-497-A-11-00015,http://pdf.usaid.gov/pdf_docs/PA00KS9J.pdf,1288 KB,041093 - CIRCLE Indonesia ~|~_©_~|~ 000989 - Project Concern International (PCI),,008558 - USAID. Mission to Indonesia,English,application/pdf,,,"Sitorus, Henri",Disaster prevention,Jun-15,,,,Cross sectoral strategies for climate change and disaster risk reduction (CADRE) in Indonesia : final evaluation report,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3MjY2,Indonesia,,,2015-06-01,2015,IDN,IDN_2015,0.496308784100293,0.806952905613143,0.903866248693835,0.559367732389009,,0.33333333333333304,0.527698836724641,0.515968203929245,0.47471056967800296,,0.597048808172531,,0.364899639732373,0.5912144761946229,0.668133574941755,0.185185185185185,,IDN,2015,2.0,0.5308384465873842,2.0,0.546312008218881,NPL_2015,AZE_2018,NPL_2017,NPL_2018,KGZ_2016
PA-00K-S7D,,Project title: Persons with disabilities support program,Special Evaluation,Documents,AID-440-C-14-00003,,11/1/2015 0:00,,Disabilities ~|~_©_~|~ Disability benefits ~|~_©_~|~ Nervous system ~|~_©_~|~ Decision making ~|~_©_~|~ Access to services ~|~_©_~|~ Access to resources ~|~_©_~|~ Livelihood ~|~_©_~|~ Quality of life ~|~_©_~|~ Legal aid ~|~_©_~|~ Public awareness,Vietnam,AID-486-A-12-00007,http://pdf.usaid.gov/pdf_docs/PA00KS7D.pdf,2274 KB,"003970 - Management Systems International, Inc. (MSI)",,008623 - USAID. Mission to Vietnam,English,application/pdf,,,"Hayden, Mary F. ~|~_©_~|~ Tran, Hoang V. ~|~_©_~|~ et al.",Social problems,Nov-15,,,,Evaluation of Vietnam disabilities programming,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3MjA2,Vietnam,,,2015-11-01,2015,VNM,VNM_2015,0.37180570446867206,0.8719913372464209,0.35736677115987503,0.7509641410129009,,0.555555555555556,0.527850403546664,0.4247324339493,0.539899353357549,,0.158910329171396,,,0.597764820952448,0.754853740616101,0.342592592592593,,VNM,2015,2.0,0.5184178941649252,3.0,0.5231711018292643,KGZ_2016,NPL_2018,AZE_2017,NPL_2015,AZE_2018
PA-00K-S79,,Header title: School health and reading program impact evaluation report ~|~_©_~|~ Evaluated project title: School health and reading program (SHRP) ~|~_©_~|~ Related document PA-00K-VVP,Special Evaluation,Documents,AID-617-C-12-00006,,4/1/2015 0:00,,Primary schools ~|~_©_~|~ Reading skills ~|~_©_~|~ Reading instruction ~|~_©_~|~ Preschool education ~|~_©_~|~ Basic education ~|~_©_~|~ Teacher training ~|~_©_~|~ Literacy ~|~_©_~|~ Leadership training ~|~_©_~|~ Public awareness ~|~_©_~|~ Advocacy ~|~_©_~|~ Learning motivation ~|~_©_~|~ Learning readiness ~|~_©_~|~ Educational development ~|~_©_~|~ HIV/AIDS,Uganda,AID-617-A-12-00002,http://pdf.usaid.gov/pdf_docs/PA00KS79.pdf,1116 KB,040818 - NORC at the University of Chicago,,008618 - USAID. Mission to Uganda,English,application/pdf,,,,Teacher education,30-Apr-15,,,,"Performance & impact evaluation (P&IE) of the USAID/Uganda school health and reading program : result 1 interventions : impact evaluation report for cluster 1, year 2",,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3MjA0,Uganda,,,2015-04-01,2015,UGA,UGA_2015,0.45696272539758703,0.3643716660675321,0.716823406478579,0.628340888354092,,0.444444444444444,0.4303360994278351,0.19557308351116,0.42305902059256106,,0.28490351872871694,,,0.458935013608851,0.644317887652084,0.25,,UGA,2015,2.0,0.49179389291538483,3.0,0.4055854699552168,TJK_2016,MDG_2017,MLI_2015,TZA_2018,MOZ_2017
PA-00K-S72,,Submitted as: East Africa trade hub (EATH) final evaluation report ~|~_©_~|~ Evaluated task order: East Africa trade hub (EATH) ~|~_©_~|~ Project title: AFR/SD support services,Final Evaluation Report,Documents,AID-OAA-M-13-00012,,8/1/2015 0:00,,Trade promotion ~|~_©_~|~ International trade ~|~_©_~|~ Nontariff barriers ~|~_©_~|~ Economic efficiency ~|~_©_~|~ Customs operations ~|~_©_~|~ Cross-border trade ~|~_©_~|~ Cross-border linkages ~|~_©_~|~ Gender equality ~|~_©_~|~ Economic reform ~|~_©_~|~ Value chains ~|~_©_~|~ Agricultural economics ~|~_©_~|~ Economic competition,East Africa,EEM-I-05-07-00008-00 ~|~_©_~|~ EEM-I-00-07-00008-00 ~|~_©_~|~ AID-EEM-I-05-07-00008 ~|~_©_~|~ AID-EEM-I-00-07-00008,http://pdf.usaid.gov/pdf_docs/PA00KS72.pdf,490 KB,000981 - Pragma Corp.,,008308 - USAID. Bur. for Africa. Ofc. of Sustainable Development,English,application/pdf,,,,International trade,14-Aug-15,,,,East Africa trade hub (EATH) 2009-2014 : final evaluation report,,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3MTk3,,,,2015-08-01,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA-00K-S6H,,Cover date: Junio 2015 ~|~_©_~|~ Executive summary also in English ~|~_©_~|~ English ed.: PA-00M-9XB,Special Evaluation,Documents,AID-527-C-13-00002,,10/1/2015 0:00,,Biological diversity ~|~_©_~|~ Ecosystems ~|~_©_~|~ Natural resource management ~|~_©_~|~ Sustainable development ~|~_©_~|~ Forestry ~|~_©_~|~ Investment ~|~_©_~|~ Agricultural products ~|~_©_~|~ Governance ~|~_©_~|~ Gender integration,Peru,,http://pdf.usaid.gov/pdf_docs/PA00KS6H.pdf,2400 KB,"041247 - Centro de Consultoria y Servicios Integrados (INNOVA-PUCP) ~|~_©_~|~ 040772 - Partners for Global Research and Development, LLC (PGRD)",,008591 - USAID. Mission to Peru,Spanish,application/pdf,,,"Tostes, Marta ~|~_©_~|~ Castro, Augusto ~|~_©_~|~ Soria, Carlos ~|~_©_~|~ Beteta, Edmundo ~|~_©_~|~ Espinosa, Diego ~|~_©_~|~ Hernandez, Daniel ~|~_©_~|~ Escalante, Gonzalo ~|~_©_~|~ Contreras, Julie",Environmental management,Octobre 2015,,,,Evaluacion de medio termino del programa de asistencia tecnica al Ministerio del Ambiente de Peru,Midterm evaluation of the technical assistance program for the Peruvian Ministry of Environment,https://dec.usaid.gov/dec/content/Detail.aspx?ctID=ODVhZjk4NWQtM2YyMi00YjRmLTkxNjktZTcxMjM2NDBmY2Uy&rID=MjA3MTgy,Peru,,,2015-10-01,2015,PER,PER_2015,0.552474569710162,0.8368736390260271,0.901776384535005,0.5535904216024561,,0.666666666666667,0.391932855897844,0.5513698207750191,0.467014020728545,,0.701475595913734,,0.7849716932578491,0.5685814049510479,0.39761843127103297,0.25925925925925897,,PER,2015,2.0,0.5743651370328104,2.0,0.5952223848038244,COL_2015,COL_2014,TUN_2016,ARM_2016,PHL_2014
